No,Kalimat
21,"Selanjutnya, kata-kata yang sering muncul namn tidak memiliki makna secara signipikan dapat dihapus (stopword removal) dengan menerjemahkan setiap tweet terlebih dahulu lalu hitung polarity score sehingga diperoleh tweet bersentimen negatif, netral dan positifi."
22,Perhitungan polarity score dilakukan dengan menjumlhkann keseluruhan bobot teks pada tweet.
23,"Pada tahap ranking candidates, seluruh kandidat diurutkan berdasarkan peluang kemunculannya, kandidat dengan oeluang tertinggi dijadikan kokreksi."
24,"Pertama, data training pertama merupakan data training dengan label oleh Inset Lexicon dan data training kedua dengan menggunakan terjemhan textblob."
25,Kata 'Dilarang' dan 'larangan' memiliki bobot polarity score negatif maka kalimat yang mengandung kata-kata ini cenderung bersentimen negatuff.
26,"Berdasarkan hasil, pelabelan dengan textblob lebih baik daripada inset lexicon, namun perlu dikaji lebih mendalam label sentimenn yang dihasilkan apakah sesuuai dengan sentimen yang dianotasi manual oleh ahlo."
27,"Seyiap kata akan dijadikan input pada model deteksi, lalu model mengklompokkan kata sebagai kesalahan ejaan atau tidak."
28,Apabila tidak ada batasan atau aturan yang jelas mengenai kandidat yimbul permasalahan yakni jumlah kandidat yang banyak dan malah tidak relevan.
29,Kandidat terbaik selanjutnya menjadi perbaikann kata yang telah terdeteksi sebagai kesalahan.
30,Penggunaan kamus pada koreksi ejaan otomatis di tahun 1970-an masih menjadi kendala karena keterbatasaan ruang memori dan kemampuan komputer.
31,"Meskipun begitu, penggunaan kamus masih memiliki keterbatasan yakni senakin besar kamus yang digunakan semakin banyak pula perhitumgan edit distance yang dibutuhkan."
32,Penggunaan sigmoid dan softmax pada output layer neural network merupakan hal yang sangat lyumrah untuk menyelesaikan permasalahan supervised learning.
33,"Kita hidup di dunia tiga dimensi, sayangnya kamera yang uimum kita gunakan hanya mampu melakukan proyeksi duaa dimensi."
34,Penelitian ini akan mempelajari dampak penerapan SVM sebagai output layer pada PointNet dan dampak expansi dimensi terhadap hasil segmentasi.
35,PointNet mampu memproses raw point cloud beserta fitur pada tiap-tiap point tanpa harus melakukan proyeksi dua dminensi terhadap point cloud.
36,"Dewasa ini perkembangan teknologi sanggat pest, terlihat dari bermacam-macam teknologi yang muncul dan hadir untuk membantu kerja manusia"
37,"Dilansir dari BBC, di amerika serikat perusahan teknologi seperti Microsoft, Facebook dan Twitter telah menerapkan 'work from home'."
38,"Dalam berita yang diterbitkan oleh BBC, terdapat survei yang mengatakana hampir 60% bisnis yang berjalan di Eropa Barat dan Amerika Utara, 25 % dari tenaga kerja mereka telah menerapkan berkerja dari rumah."
39,Kebijakan bekerja dari rumah atau work from home di Indonesia sendiri telah diterapkan sejak presiden Joko Widodo maret 2020 menyerukan untuk melakukan bekerja dari ruamh.
40,"Menurut BBC, teknologi-teknologi yang digunakan untuk bekerja dari rumah akan mejnadi tren kedepannya."
41,"Pada materi ini, peserta didik diharuskan bisa memahami dan menganalis konsep yang ada dalam materi usaha dan energi."
42,"Berdasarkan hasil wawancara dengan guru dalam pembelajaran fisika, guru cenderung hanya menggunakan LKS dan powerpoint di mana belum mampu menfasilitasi siswa untuk berpikir tingkat tinngi."
43,"Kebijakan pembelajaran daring tentunya membawa dampka besar terhadap proses pembelajran, khususnya dalam penyediaan dan pemilihan perangkat pembelajaran yang sesuai dan tepat."
44,"Oleh karena itu, diperlukan solusi kteratif yang dapat digunakan sebagai alternatif untuk menignkatakan kualitas prtoses pembelajaran daring dengan pengembangan perangkat pembelajaran yang relevan."
45,"Sebagai salah satu negara yang terpapar Covid 19, pemerintah Inodnesia menetapkan kebijakan physical distancing (jaga jarak) untuk mengendalikan penyebaran virus corona."
46,"Pembelajaran daring adalah proses pembelajaran yang dilakukan secara online, baik menggunakan aplikasi pembelajaran maupun medida sosial."
47,Pelaksanaan pembelajaran daring menuntut guru untuk merancang kegiatan pembelajaran yang sesuai dengan stadard proses pembelajaran.
48,"Muhidin & Ubaid (2018) menyatakan bahwa bahan ajar adalah segala macam bentuk informasi (teks, visual, audio, atau gabungan di antara ketiganya), yang dibutuhkan oleh pelajar untuk dipelajari dan disusun dalam rangka mendukng aktivitas belajar guna mencapai komptensi."
49,"Hasil wawancara yang dilakukan dengan salah satu guru matematika MTs Negeri 2 Medan pada tanggal 23 Oktober 2020 menyatakan bahwa ketika proses pembelajaran, siswa mengalami kesulitan dalam memahami meteri pelajaran yang bersifat abstrak ataupun yang membutuhkan visualisasi seperti yang terdapat pada materi transformasi geometri."
50,Materi ini merupakan ilmu yang mempelajari tentang perpindahan atau pergesaram objek-objek geometri.
51,"Sementara itu, siswa juga mengaku bahwa mereka merasa kesulitan dalam memhami materi yang bersifat abstrak dengan menggukan bahan ajar cetak yang digunakan oleh guru."
52,"Bahan ajar yang digunakan sekolah saat pembelajaran daring merupakan jenis bahan ajar cetak yang umunya berisikan ringkasan materi, contoh soal, dan latihan soal yang hanya melatih siswa untuk menghapal rumus serta meniru penyelesaian contoh soal yang disajikan."
53,Penyajian bahan ajar ini hanya akan membuat siswa mudah lupa dan tidak memahami konsep mateamtiak dengan baik.
54,Prinsip ini artinya adalah materi yang ada pada bahan ajar hendaknya cukup menaadai dalam membantu siswa menguasai kompetensi yang diajarkan.
55,Peserta didik juga berpendapat bahwa kegiatan-kegiatan yang ada pada bahan ajat cukup sulit untuk dilaksanakan pada saat proses pembelajaran.
56,Bahan ajar adalah seperangkat materi baik tertulis maupun tidak tetrtulis yang disusun secara sistematia sesuai kompetensi yang harus dikuasai siswa dan digunakan dalam proses pembelajaran dengan tujuan untuk perencanaan dan penelaahan implementasi pembelajaran.
57,"Bahan ajar interaktif adalah bahan ajar yang mengintegrasikan beberapa media pembelajaran (teks, gambar, audio, dan video) yang bersifat interaktif untuk mengendalikan perintah atau perilkau alami dari sebuah presentasi sehingga terjadi hubungan dua arah antara bahan ajar dengan siswa."
58,Pembelajaran matematika realistik adalah pembelajaran yang berorientasi pada masalah yang bersifat realistik sebagai sumbwert munculnya konsep-konsep matematika.
59,Bahan ajar yang telah dihasilkan kemudian di validasi oleh dosen serta dilakukan uji praktikalitas oleh guru dan ssiswa.
60,Siswa mengaku bahwa mereka cednerung menghafal rumus matematika untuk menyelesaikan soal dan tugas yang diberikan oleh guru.
61,"Bahkan, sebagian besar dari peserrts didik hanya mencari jawaban soal di internet tanpa memahami konsep materi yang mereka tulis."
62,"Banyak faktor yang menyebabkan seseorang terkena karatak diantaranya: bertambahnya umur, status pendidikan atau status ekonomi, faktor genetika dan pola hidup."
63,"Hasil penilaian kemampuan sains yang telah dilakukan oleh tim PISA pada tahun 2018, Indonesia berada pada peringkat 71 dari 79 Negara yang ikut berpatrisipadsi."
64,Peningkatan kemampuan berpikir tingkat tinggi (HOTS) dapat dilakukan dengan menerapkan pembelajaran yang berirentasi untuk mengasah kemampuan berpikir tingkat tinggi.
65,"Penerapkan pembelajaran emampuan berpikir tingkat tinggi menjadi jembatan untuk melatih siswa untuk terampil menganalisis, mensistesis dan mengevaluasi serta menarik kesimpulan hingga mampu menentukan alternatif dari sebuah permasalahan."
66,"E-modul dapat memuat iinfromasi berupa video, animasi, diagram, dan teks sehingga peserta didik dapat memahami lebih dalam materi yang dipelajari."
67,"Pmbelajaran online didefinisikan sebagai pengalaman transfer pengetahuan menggunakan video, audio, gambar, komunikasi teks, perangkat lunak."
68,"Pada materi ini, peserta didik diharuskan bisa memahami dan menganalis konsep yang ada dalam materi usaha dan energi."
69,Problem solving merupakan sebuah proses pembelajaran yang melakukan pemusatan pada pengajaran dan keterampilan pemecahan asalah yang diikuti dengan penguatan keterampilan.
70,Masalah didefinisikan sebagai senbuah persalan yang tidak rutin dan belum dikenal cara penyelesaiannya.
71,Kelebihan metode pembelakjaran problem solving diantaranya melatih siswa untuk menghadapi problem atau situasi yang timbul secara spontan.
72,"Bahan sajar adalah segala bahan, baik informasi, alat, maupun teks yang disusun secara sestematis, yang menampilkan sosok utuh dari kompetensi yang akan dikuasai oleh peserta didik."
73,"Bahan ajar merupakan informasi, alat dan teks yang diperlukan guru atau instrukstur untuk perencanaan dan implementasi pembelarajan."
74,Modul adalah satuan unit lengkap yang terdiri dari rangkaiuan kegiatan pembelajaran yang disusun untuk membantu peserta didik dalam mmencapai tujuan yang dirumuskan secara khusus dan jelas.
75,Usaha atau kerja dapat didefinisikan sebagai hasil kali gaya dengan perpindaahn titik di mana gaya itu bekerja.
76,Usaha positifn terjadi apabila arah gaya yang bekerja pada bedan searah dengan arah perpindahan benda.
77,Usaha nol terjadi apabila gaya yang bekerja pada benda tidak menyebabkan benda tersebut bergeak.
78,"Bahan ajar interaktif berbasis pendidikan matematika realistik yang dikembangkan telah teruji valit dan praktis, namun belum efektif."
79,Ekstraksi gambar pupil selanjutnya diklasifikasikan dengan bantan Convolutional Neural Network.
80,Siswa menisi angket di mana hal ini bertujuan untuk mendapatkan data mengenai responn siswa terhadap bahan ajar interaktif.
81,Lembar vadlidasi bahan ajar interaktif akan diberikan kepada ahli media untuk melihat kesesuaian komponen-komponen bahan ajar interaktif dengan materi transformasi geometri.
82,Insdtrumen dalam penelitian ini akan digunakan untuk mengukur caliditas dan praktikalitas bahan ajar interaktif yang dikembangkan.
83,"Esensi dari pendekatan sistem adalah membagi proses perencanaam pembelajaran ke beberapa langkah yang diurutkan secara logis, sehingga output dari setiap langkah akan dijadikan sebagai input pada langkjag berikutnya."
84,Penelitian pengebmangan ini berorientasi pada pengembangan produk di mana proses pengembangannya dideskripsikan dan produk akhirnya dievaluasi.
85,"bahan ajar adalah informasi, alat, teks serta bahan teryulis maupun tidak tertulis yang digunakan pendidik dalam kegiatan belajar mengatar untuk implemenrsi pembelajaran."
86,"Bahan ajar sebagai speerangkat dalam proses pembelajaran tersusun secara sistematis, menjelaskan tujuan pembelajaran, memberikan motiavasi belajar, mengantisipasi kesulitan belajar, memberi latihan, menyediakan rangkuman, dan berorientasi pada kegiatan belajar mandiri bagi siswa."
87,"Sedangkan menurut Widodo dan Jasmadi (2008), bahan ajar adalah seperangkat saranas atau alat pembelajaran yang berisikan materi pembelajaran, metode, batasan-batasan, dan cara mengevaluasi yang didesain secara sistematis dan menarik dalam rangka memcapai tujuan yang diharapkan."
88,"Berdasarkan kebijakan Direktorat Sekolah Menengah Pertama, terdapat tiga prinsip yang harus diperhatikan dalam penyusunan bahan ajar yalni: prinsip relevansi, prinsip konsistensi dan prisnip kecukuapn."
89,Prinsip relevansi berkaitan dengan materi pembelajaran hendaknya relevan atau ada kaitan dan hubungann dengan pencapaian komptensi inti dan kompetensi dasar.
90,"Prinsip konsistensi berkaitan deggan kompetensi dasar yang harus dikuasai siswa empat macam, maka bahan ajar yang harus diajarkan juga harus meliputi empat macam."
91,Prinsip kecukupan berkaitan dengan materi yang diajarkan hendaknya cukup memadai dalam membantu siswa mengausau kompetensi dasar yang diajarkan.
92,"Analisis merupakan salah satu tahap dalam menganlisis kelayakan dan syarat-syarat pengembangan model, metode, ataupun media baru dalam pembelajaran."
93,Design merupakan tahap dalam menrancang sebuah strategi dalam menyelesaikan permasalahan yang ditemukan pada saat proses analisis.
94,"Dalam tahap desain, telah disusun kerangka konsepyual penerapan model/metode/media pembelajaran baru."
95,"Pada tahap implement, proses implementasi terhadap rencana manajemem pembelajaran dan melakukan pembelajaran dan pelatihan."
96,Pengembangan materi bahan ajar sangat berghantung pada model silabus atau kurikulum yang berlaku.
97,validitas adalah kriteria yang paling kriti dan menunjukkan sejauh mana sebuah instrumenb mengukur apa yang seharusnya diukur.
98,"Menurut Endra (2017), validasi adalah sebuah proses yang dilakkan oleh penyusun atau pengguna instrumen untuk mengumpulkan data secara empiris guna mendukung kesmpulan yang dihasilkan oleh skor instrument."
99,"Komponen penyajian ini diuraikan menjadi beberapa subkomponen atau indiaktor berikut: (a) Teknik, (b) Materi, dan (c) Pembelajaran."
100,"Terdapat empat jenis trasnformasi geometri, yakni: translasi, refleksi, rotasi dan dilatasi."
101,Translasi merupakan pereseran atau pemindahan semua titik pada bidang geomekri sejauh dan arah yang sama.
102,Refleksi merupakan transformasi geometri berupa pergeseran atau pemindahann semua titik pdaa bidang geometri ke arah sebuah garis atau cermin dengan jarak sama dengan dua kali jarak titik ke cermin.
103,Rotasi adalah perubahan kedudukan atau posisi objek dengan cara diputar terhadap sumbu perputarab dan sudut tertentu.
104,Dilatasi adalah transformasi yang mengubah ukuran berupa pebresaran atau oengecilan dari sebuah bangun geometri.
105,Beberapa hasil penelitian yag ada menunjukkan bahwa penggunaan pendakatan Pendidikan Matematika Realistik (PMR) yang dipadukan dengan pemanfaatan media interaktif valid dan praktis dalam menigkatkan hasil dan proses pembelajaran.
106,"Proses pengembangan bahan ajar interaktif bernasis pendekatan matematika realistik dilakukan dengan model penelitian pengembangan Analysis, Design, Development, Implementation, Evaluation (ADDIE)."
107,Validasi bahan ajar interaktif dilakukan untuk mengukur kesusuaiann atau kelayakan dari bahan ajar interaktif dan perangkat pembelajaran pendukungnya (RPP dan angket respon).
108,Praktisitas bahan ajar interaktif dilakukan untuk menggukur tingkat kepraktisan (kemudahan) penggunaan bahan ajar interaktif pada proses pembelajaran.
109,"Songket Palembang adalah kain yang ditenun dengan menggunakan bernang emas atau benang perak yang dihasilkan dari daerah-daerah tertentu saja, salah satunya yakni Kabypaten Ogan Ilir."
110,"Tenun Songkwt Palembang kekhususan yakni corak ragam hias kain tenun songket sebagian besar dipengaruhi oleh budaya dari negara China dan India, serta budaya Hindu, Budha, dan Islam."
111,Proses asimilasi budaya yang terjadi dalam songket membuat songket memiliki nilai sjerah dan budaya yang tinggi sehingga bernilai ekonomi yang tinggi pyla.
112,"Berdasarkan data badan pusat statisitik (BPS) Kabupaten Ogan Ilir, sektor undustri olahan memberikan kontribusi sebesar 11,52 persen dari Produk Domestik Regional Bruto (PDRB) Kabupaten Ogan Ilir."
113,Data BPS lain menunjukkan rringkat kemsikinan pekerja di sekotr oalahan yang tinggi di Kabupaten Ogan Ilir yang berkebalikan denga data kontrisubi PDRB.
114,"Berdasarkan data yang ada, kemiskinan masih mejadi salsah satu masalah di Kabupaten Ogan Ilir."
115,Salah satu upaya yang dapat dilakukan untuk menekan angka kemiskinan yaitu dengan meningkatkan produktivitas pengerajin songket.
116,Peningkatan produktivitas pengrajin songket dapat dioptimalkan dengan pengoptimalan faktor-faktor yang berpengarh terhadap produktivitas itu sendiri.
117,Statistik deskriptif adalah pengolahan data dengan tujuan mendeskripikan atau memberi gambaran terhadap objek yang diteliti melalui data sampel atau poplasi.
118,"data yang diolah dalam statistik deskriptif berupa satu varibael saja dan dihasilkan dalam tabel, grafik, maupun diagram."
119,"Statistik deskriptiff juga disebut dengan analisis univatiat, yakni sebuah teknik analisis data terhadap satu variabel secara mandiri, tiap variabel dianalisis tanpa dikaitkan dengan variabel lainnya untuk menggambarkan variabel yang dikaji."
120,Analisis bivariat adalah analisis secara simultna dari dua variabel untuk melihat apakah antara kedua variabel saling terkiat.
121,"Penelitian terhadap dua variabel biasanya mempunyai tujuan untuk mendeskripsikan distribsiu data, menguji perbedaan dan mengukur hubungan antara dua variabel yang diteliti."
122,Ci-square digunakan untuk menguku hubungan antara dua variabel.
123,Uji chi square merupakan salah satu uji komparatrif non parametrik dengan jumlah kategori yang diujikan dapat lebih dari dua klasifikasi.
124,Uji chi square dapat digunakan untuk menguji apakah terdapat perbedan yang signifikan antara frekuensi hasil observasi dengan frekeunsi yang diharapkan.
125,Analisis rehresi merupakan pengukur hubungan antara dua variabel atau lebih yang dinyatakan dengan bentuk hubungan atau fungsi antara variabel bebas dan variabel teriakt.
126,Regresi logistik adalah sebuah analisis regresi yang digunakan untuk mengambarkan hubungan antara variabel terikat yang berskala nominla atau ordinal dengan 2 kategori atau lebih dengan sekumpulan variabell prediktor yang bersifat kontinu atau kategorik.
127,"Berdasarjan variabel responnya, regresi logistik dibedakan menjadi dua yaitu regresi logistik biner dan regresi logistik multinomial."
128,Metode maximum likelihood estimation (MLE) dapat digunakan untuk memperoleh pendugaan dari parameter regresi logitsik.
129,Uji kebaikan model pada regresi logistik berguna untuk menguji kellayakan dari model digunakan.
130,"Menurut Hosmer and Lemeshow (2000), terdapat dua cara untuk menguji keberarrtian model regresi logistik yaitu pengujian model secara simultann dan pengujian secara parsial."
131,Proses pengujian keberartian model dilakukan untuk menguji apakha model yang terbentuk sesuai dengan data amatan.
132,"Selan itu, pengujian juga digunakan untuk mengevaluasi pengaruh variabel bebas terhadap variabel respon serta menggambarkan hubungan dan interaksi yang terjadi terhadap variabel respon."
133,Prosedur uji perbandingan kemungkinan (likelihood-ratio test) digunakan untuk menguji keberartian model rekresi logistik.
134,Pengujian secara siamultan dilakukan untuk menetahui pengaruh semua variabel bebas yang terdapat dalam model secara bersama-sama (simultan) terhadap variabel terikat.
135,Metode backward (eliminasi mundur) dimulai dengan meninput seluruh variabel bebas ke dalam model kemudian mengisihkan satu demi satu sampai variabel yang tidak memenuhi kriteria keluar dari model.
136,Odds ratio merupakan ukuran yang menunjukan rasio untuk mengalami kejadian tertentu antara sebuah bagian populasi dengan ciri terttentu dan bagian populasi yang lain tidak memiliki ciri tertentu tersebut.
137,Tenun songket Palembang merupakan warisan tradii yang dikenal sejak zaman Kerajaan Sriwijaya yang umumnya disongket oleh perempun.
138,Tenun songket terbuat dari serat bahan alam (katun atau sutera) yang ditenun dan dipadukan dengan benan emas sebagai coraknya.
139,Benang emas yang ada oada kain songket menjadikan songket sebagai kain yang mewah dan memberikan status sosial tersendiri bagi penggunanya.
140,Produktivitas adalah rasio dari apa yang dihasilkan (output) terhadap keseluruhn sumber daya yang digunakan (input).
141,Produktivitas adalah sikap menntal yang selalu mempunyai pandangan bahwa mutu kehidupan hari ini harus lebih baik dari hari kemarin dan mutu kehidudan hari esok harus lebih baik dari hari ini.
142,"Produktivitas adalah interaksi terpadu antara tiga faktor ensensial yaitu investasi, manajemen, serta tenaga kerja."
143,Efisiensi merupakan ukuran yang menggambarkan tingkat pengghematan dalam menggunakan sunmber daya.
144,Efektivitas merupakan ukuran yang mengnambarkan seberapa jauh target dapat dicapai.
145,"Faktor teknis adalah faktor yang berhubungan dengan pemakaian dan pemerapan metode kerja yang lebih efektif dan efisien, atau penggunaan bahan baku yang lebih elonomis."
146,Metode backward memproses keseluruhaan variabel bebas kemudian mengeliminasi satu per satu variabnel bebas sehingga diperoleh variabel bebas yang signifikan saja.
147,Ikan bandeng merupakan salah satu hasil budisdaya ikan yang hidup di air payau atau ikan yang berasal dari tambak yang mempunyai prospke cukup baik untuk dikembangkan.
148,Ikan bandeng merupakan bahan pangan yang mengandung giiz yang cukup dan bermanfaat bagi tubuh.
149,Ikan Bandengh presto mudah mengalami pembusukan karena memiliki kandungan air dan protein relatif tinggi yang sesuai bagi pertumbuhan mikrorganisme terutama bakteri dan jamur.
150,Pengawetan bertujuan untuk menghambat atau menghentikan aktivbitas enzim dan mikroorganisme serta memperpanjang masa simpan serta memodifikasi produk olahan hasil perikanan.
151,Produk olahan bandeng presto biasanya dimasak dengan cara memasak dengan uap air yang bettekanan tinggi.
152,Bandeng dapat dibudidayakan dari lingkuggan air tawar sampai dengan salinitas air yang tinggi karena memiliki sifat euryhaline.
153,"Selajutnya Barman et al., (2012) menambahkan bahwa bandeng dapat tumbuh optimal pada lingkungan dengan salinitas 25 ppt."
154,Usus bandeng yang panjang tersebut dibutuhkan untuk mencaerna makanan nabati yang sulit dicerna karena mengandung dinding selulosa.
155,Pindang ikan merupakan upaya pengawetan sekaligus penggolahan ikan yang menggunakan teknik penggaraman dan pemanasna.
156,Jahe merupakan tanaman obat berupa tumbuhan rumpun bebatang semu.
157,"Jahe dapat dibedakan menjadi tiga jenis berdasarkan ukurn, bentuk, dan warna rimpangnya yaitu jahe puti atau jahe kuning besar, jahe putih kecil, dan jahe merah."
158,Bumbu memegang peranan penting karena menentukan cita rasa prodak akhir.
159,Uji kontaminasi mikroba patogen menjadi indiktator penting untuk mengetahui kualitas ikan olahan layak konsumsis.
160,"Keberadaan mikroba partogen pada ikan sangat mungkin terjadi, sebab kandungan gizi yang tinggi pada ikan merupakan media yang baik bagi pertumbuhan dan perkembangiakan mikroorganisme."
161,Proses pengolahan ikan secara sederhana dan tradisional juga memungkinkan terjadi camaran bakteri patogen.
162,pH (Power of Hydrogen) adalah skala yang digunakan untuk menyatakan tingkat keasaman atau kebasaan yang dimiliki oleh sebuah larutan.
163,pengukuran pH dilakukan untuk mengetauhi kecenderungan kenaikan atau perurunan pH selama penyimpanan.
164,Besarnya pH berhubungan dengan senyawa-senyawa yang bersifat basaj selama penyimpanan dan akan mempengaruhi pertumbuhan mikroba.
165,"Pada umumnya ikan yang tidak segar, dagingnya mempunyai pH lebih basis (tinggi) daripada ikan yang masih segar, nilai pH yang rendah dapat menghambat kontaminasi mikroorganisme pembusuk."
166,"Pada beberapa bahan pangan air ada dalam jumlah relatif besar, kenaikan sedikit kandungan air pada bahan pangam mengakibatkan kerusakan baik akibat reaksi kimua maupun pertumbuhan mikroba."
167,"Kadar air merupakan parameter yang umum namun sangat penting bagi ebuah produk, karena kadar air memungkinkan terjadinya reaksi-reaksi biokimia yang dapat menurunkan muttu sebuah bahan mkaanan sehingga sebagian air harus dikeluarkan dari bahan makanan."
168,"Pengindraan diartikan sebagai proses fisio-psikologis, yaitu kesadaran atau pengenalan alat indra akan sifat-sifat benda karena adanya rangdangan yang diterima alat indra yang berasal dari benda tersebut."
169,Penyimpanan produk pangan dilakukan agar memiliki self life yang cukup lama dengan mencegah kerusakann produk tersebut.
170,"Penyimpanan produk pangan perlu diperhatikan, beberapa hal yang penting diperhatikan ialah suhu pentimpanan, jenis pangan yang disimpan, kebersihan tempat penyimpanan serta lama penyimpanan."
171,Masalah utama yang dihadapi oleh industyri pengolahan ikan adalah mutu ikan yang rendah dan masa simpan ikan yang singkat.
172,Masa simpan produk ikan yang singkat disebabkan oleh bakteri yang masih tersisa dan trekontaminasi setelah pengolahan ikan.
173,Kandungan air yang masih tinggi dalam bandeng presto menyebabkan produk mudah mengalami keruskan.
174,Geejala kerusakan bandeng presto ditandai dengan perubahan tekstur serta rasa dan aroma khas dari produk yang berkurang.
175,Uji organoleptik mempunyai peranan yang penting sebagai pendeyeksian awal dalam memulai mutu untuk mengetahui penyimtangan dan perubahan dalam produk.
176,Uji organoleptik pada penelituan ini menggunakan lembar penilaian yang diberikan peneliti.
177,Kebutaan yang terjadi pada penderita karatak terjadi secara berttahap dan tanpa rasa sakit dalam jangka waktu yang lama.
178,"Gejala yang terjadi tanpa rasa sakit inilah yang menyebabkan banyak penderita tidak mensadari jika dirinya sudah menderita penyakit katarak, bahkan sebagian menganggap sekedar hanya mengalami rabun jauh atau rabun dekat."
179,Akses ke layanan perawatan mata membantu mengurani kemiskinan dan kelaparan serta meningkatkan peluagng ekonomi dan pekerjaan.
180,Tingginya angka kasus kebutaan nasional di Indonesia tidak diimbangi dengan ketersediaan fasilittas kesehatan.
181,Pemeriksaan dilanjutkan dengan analisa dokter berdasarkan hasil cirra dari pemeriksaan Slit-Lamp.
182,Ketimpangan jumlah dokter yang ada di sebuah daerah dibandingkan dengan daerah lain juga membuat fasilitas ppelayanan kesehatan tidak dapat diakses oleh semua orang secara merata.
183,Sistem ini menggunakan metode linear regression dalam mendeteksi dan menglasifikasikan katarak.
184,Metode berfokus pada perhitungan nilai kekeruhan yang disebabkan oleh katarak pada lensa mata dengan mendapatkan nilai rata-rata intensias dari gambar input mata.
185,Input dibedakan menjadi dua yaitu input kamera yang digunakan sebagai pengambilan gambar mata seccara fisik dan input user yang digunakan sebagai pengambilan data gelaja yang nantinya diolah di dalam sistem pakar.
186,Input kamera dilakukan dengan proses pengambilan gambar mata menggunakan kamera telepn.
187,Input user dilakukan dengan proses pengambilan data dengan cara memberikan pertanyan pada user yang harus dijawab.
188,Pertanyaan yang diberikan kepada user berupa pilihan tingkatan kepastian user mengenai gejla yang dialami.
189,"Data input berupa gambar mata diproses untuk mendapatkan area mata dan diekstrak bagian pupil dilakukan klasifikasi, apakah pupil tersebut ada kekeruhan atau pupil normal."
190,Convolutional neural network dilatih dalam beberapa layer untuk memproleh fitur dan bobot yang sesuai.
191,"Output model berupa data hasil detksi kekeruhan pada mata dan klasfiikasi pupil, serta hasil deteksi deteksi penyakit katarak dan jenis kataraknya."
192,Hasil akhir dari sistem berupa persentasi user dalam terkena penyakit katarak dan besar persentase jenis katarak yang dialami berdasarkan gejala yang dialami.
193,Hasil deteksi keekruhan mata merupakan hasil yang didapat dari proses yang telah dijalankan berdasarkan data input gambar mata.
194,Hasil dari deteksi penyakit katarak dan jenis katarak merupakan hasil yang didapat setelah mengitungg nilai akhir dari certainty factor dari setiap evidence yang dialami oleh user.
195,Penentuan jenis katarak dilakukan dengan mengamnbil nilai persentase yang paling besar dari setiap hipotesa jenis katarak.
196,Tahap klasfikasi jenis katarak dilakukan untuk menghitung besar kemungkinan user terkena penyakit katarak jenis tertentu.
197,Pengujian pada tahap ini dilakukan dengan mengambil jawaban dari input user pada pertanyaan terkait gejala lanjutan ketika user telah menjawab pada pertanyaan pada halamn pertama.
198,Para ahli kesehatan telah memanfatkan AI untuk mengatasi beberapa peyakit kronis seperti mengontrol diabetes.
